assignment_id,average_score,kc_list
A01,0.89,variables;printing;basic_types
A02,0.89,printing;variables
A03,0.85,basic_types;variables
A04,0.84,expressions;operators
A05,0.81,expressions;operators
A06,0.79,operators;expressions
A07,0.7,operators;expressions
A08,0.68,string_formatting;input_output
A09,0.73,string_formatting;input_output
A10,0.73,boolean_logic;conditionals;input_output
A11,0.72,boolean_logic;comparison_operators
A12,0.63,boolean_logic;comparison_operators
A13,0.6,for_loops;loops
A14,0.6,while_loops;for_loops
A15,0.57,while_loops;for_loops;loops
A16,0.56,indexing;slicing;lists
A17,0.55,slicing;lists;indexing
A18,0.55,slicing;lists;indexing
A19,0.55,functions;scope
A20,0.55,scope;return_values
A21,0.6,scope;return_values
A22,0.57,key_value_access;dictionaries;iteration;return_values;scope
A23,0.55,iteration;key_value_access
A24,0.55,iteration;key_value_access
A25,0.55,file_io;files;key_value_access
A26,0.55,files;file_io
A27,0.55,files;file_io
A28,0.55,methods;oop_basics;attributes;files;classes
A29,0.55,methods;oop_basics;attributes;files;classes
A30,0.55,attributes;methods;oop_basics;files
